Part,Value,Device,Package,Description,DIGIKEY,TP_SIGNAL_NAME
A1,AH212M,AH212M,AH212M,Small 2.4Ghz chip antenna,587-2725-1-ND,
A2,AH212M,AF212M,AH212M@1,,,
C1,15uF,CAPACITOR,0402_CAP,0402 Capacitor,,
C2,15uF,CAPACITOR,0402_CAP,0402 Capacitor,,
C3,100uF,CAP_POL0603,CAP0603,,,
C4,100uF,CAP_POL0603,CAP0603,,,
C5,4.7uF,CAPACITOR,0402_CAP,0402 Capacitor,,
C6,.01uF,CAPACITOR,0402_CAP,0402 Capacitor,,
C7,0.1uF,CAPACITOR,0402_CAP,0402 Capacitor,,
C8,4.7uF,CAPACITOR,0402_CAP,0402 Capacitor,,
C9,1uF,CAPACITOR,0402_CAP,0402 Capacitor,,
C10,100nF,CAPACITOR,0402_CAP,0402 Capacitor,,
C11,1pF,CAPACITOR,0402_CAP,0402 Capacitor,,
C12,1uF,CAPACITOR01005_CAP,01005_CAP,0402 Capacitor,,
C13,100nF,CAPACITOR01005_CAP,01005_CAP,0402 Capacitor,,
C14,1pF,CAPACITOR0201_CAP,0201_CAP,0402 Capacitor,,
D1,CPC1822,CPC1822,SOIC-8,SOIC Solar Cell,CLA289-ND,
D2,CPC1822,CPC1822,SOIC-8,SOIC Solar Cell,CLA289-ND,
D3,CPC1822,CPC1822,SOIC-8,SOIC Solar Cell,CLA289-ND,
D4,CPC1822,CPC1822,SOIC-8,SOIC Solar Cell,CLA289-ND,
J1,INPUT_DIVIDER,JUMPER-2PTH,1X02,Jumper,,
J2,,JUMPER-2PTH,1X02,Jumper,,
J3,TO_ADM2,JUMPER-2PTH,1X02,Jumper,,
J4,TO_ADM1,JUMPER-2PTH,1X02,Jumper,,
J5,TO_LATCH,JUMPER-2PTH,1X02,Jumper,,
J6,STAGE_1_PULL,JUMPER-2PTH,1X02,Jumper,,
J7,STAGE_2_PULL,JUMPER-2PTH,1X02,Jumper,,
J8,OFF_DIVIDER,JUMPER-2PTH,1X02,Jumper,,
J9,TO_BLE,JUMPER-2PTH,1X02,Jumper,,
J10,TO_BLE,JUMPER-2PTH,1X02,Jumper,,
J11,TO_ADM,JUMPER-2PTH,1X02,Jumper,,
