Part,Value,Device,Package,Description,DIGIKEY
A1,AH212M,AH212M,AH212M,Small 2.4Ghz chip antenna,587-2725-1-ND
C1,1pF,CAPACITOR,0402_CAP,0402 Capacitor,
C2,1uF,CAPACITOR,0402_CAP,0402 Capacitor,
C3,15uF,CAPACITOR,0402_CAP,0402 Capacitor,
C4,15uF,CAPACITOR,0402_CAP,0402 Capacitor,
C5,100uF,CAP_POL0603,CAP0603,,
C6,100uF,CAP_POL0603,CAP0603,,
D1,CPC1822,CPC1822,SOIC-8,SOIC Solar Cell,CLA289-ND
D2,CPC1822,CPC1822,SOIC-8,SOIC Solar Cell,CLA289-ND
D3,CPC1822,CPC1822,SOIC-8,SOIC Solar Cell,CLA289-ND
D4,CPC1822,CPC1822,SOIC-8,SOIC Solar Cell,CLA289-ND
JP1,PAR1,JUMPER-2PTH,1X02,Jumper,
JP2,SER1,JUMPER-2PTH,1X02,Jumper,
JP3,GND1,JUMPER-2PTH,1X02,Jumper,
JP4,PAR2,JUMPER-2PTH,1X02,Jumper,
JP5,SER2,JUMPER-2PTH,1X02,Jumper,
JP6,GND2,JUMPER-2PTH,1X02,Jumper,
JP7,PAR3,JUMPER-2PTH,1X02,Jumper,
JP8,SER3,JUMPER-2PTH,1X02,Jumper,
JP9,GND3,JUMPER-2PTH,1X02,Jumper,
JP10,GND4,JUMPER-2PTH,1X02,Jumper,
JP11,CURRENT_MEASURE1,JUMPER-2PTH,1X02,Jumper,
JP12,CURRENT_MEASURE2,JUMPER-2PTH,1X02,Jumper,
PROG1,TC2030-JLINK-L,TC2030-JLINK-L,TC2030-IDC,,
R1,2.2k,RESISTOR0402_RES,0402_RES,Resistor,
RESET,B3U-1000P,B3U-1000P,B3U-1000P,Switch,SW1020CT-ND
TP1,D3H,TPSPAD1-13,P1-13,TEST PIN,
TP2,D2L,TPSPAD1-13,P1-13,TEST PIN,
TP3,D1H,TPSPAD1-13,P1-13,TEST PIN,
TP4,D2H,TPSPAD1-13,P1-13,TEST PIN,
TP5,D4H,TPSPAD1-13,P1-13,TEST PIN,
TP6,D1L,TPSPAD1-13,P1-13,TEST PIN,
TP7,D3L,TPSPAD1-13,P1-13,TEST PIN,
TP8,D4L,TPSPAD1-13,P1-13,TEST PIN,
TP9,GND,TPSPAD1-13,P1-13,TEST PIN,
TP10,GND,TPSPAD1-13,P1-13,TEST PIN,
TP11,GND,TPSPAD1-13,P1-13,TEST PIN,
TP12,VCAP,TPSPAD1-13,P1-13,TEST PIN,
TP13,GND,TPSPAD1-13,P1-13,TEST PIN,
TP14,GND,TPSPAD1-13,P1-13,TEST PIN,
TP15,VDET,TPSPAD1-13,P1-13,TEST PIN,
TP16,VREG,TPSPAD1-13,P1-13,TEST PIN,
TP17,VPP,TPSPAD1-13,P1-13,TEST PIN,
U1,DA14581-40,DA14581-40,QFN-40-5MM,A better version of the DA14580 - faster boot,1564-1016-1-ND
U2,LD391151.4V,LD391151.4V,FLIP_CHIP-4,"Small, low current LDO STMICRO",497-15591-2-ND
U3,AP4400_3.4_2.3,AP4400,TSOP-10,Ultra Low Power Voltage Detector with Hysterisis,CANT_BUY
X1,16Mhz,TXC-8Y,TXC-8Y,2mmx1.6mm SMD Crystal,535-12629-1-ND
